date, pm25, pm10, o3, no2, so2, co
2020/4/2, 53, , 25, 9, , 3
2020/4/3, 53, , 18, 10, , 2
2020/4/4, 52, , 33, 5, , 1
2020/4/5, 50, , 34, 5, , 1
2020/4/6, 56, , 26, 12, , 3
2020/4/7, 60, , 17, 6, , 1
2020/4/8, 84, , , , , 
2020/3/2, 33, , 13, 4, , 1
2020/3/3, 35, , 13, 8, , 1
2020/3/4, 130, , 7, 10, , 3
2020/3/24, 41, , 19, 5, , 1
2020/3/25, 36, , 25, 5, , 1
2020/3/26, 34, , 30, 7, , 1
2020/3/27, 42, , 26, 6, , 1
2020/3/28, 49, , 31, 7, , 2
2020/3/29, 56, , 23, 6, , 2
2020/3/30, 55, , 32, 7, , 2
2020/3/31, 51, , 29, 9, , 2
2020/4/1, 56, , 26, 7, , 1
2020/2/6, 31, 19, 17, 15, , 4
2020/2/7, 36, 19, 18, 17, , 5
2020/2/8, 28, 15, 13, 16, , 5
2020/2/9, 21, 14, 19, 12, , 5
2020/2/10, 23, 13, 17, 8, , 6
2020/2/11, 15, 9, 7, 11, , 3
2020/2/12, 23, 10, 9, 10, , 2
2020/2/13, 12, 11, 9, 10, , 2
2020/2/14, 18, 14, 12, 10, , 2
2020/2/18, 68, 25, 27, 16, , 5
2020/2/19, 55, 44, 19, 18, , 5
2020/2/20, 43, 22, 17, 18, , 6
2020/2/21, 49, 30, 13, 17, , 8
2020/2/22, 37, 13, , 15, , 4
2020/2/23, 29, , 11, 9, , 3
2020/2/24, 32, , 16, 4, , 1
2020/2/25, 44, , 29, 10, , 3
2020/2/26, 35, , 19, 8, , 3
2020/2/27, 27, , 4, 10, , 4
2020/2/28, 46, , 12, 9, , 2
2020/2/29, 54, , 9, 11, , 2
2020/3/1, 53, , 10, 10, , 3
2020/1/2, 29, 14, 18, 14, , 4
2020/1/3, 32, 7, 11, 10, , 2
2020/1/4, 14, 9, 17, 9, , 2
2020/1/5, 12, , 21, 9, , 3
2020/1/6, 28, 21, 21, 15, , 4
2020/1/7, 17, 20, 23, 16, , 4
2020/1/8, 32, 14, 16, 15, , 4
2020/1/9, 25, 24, 16, 16, , 5
2020/1/10, 34, 21, 18, 18, , 5
2020/1/11, 36, 23, 18, 13, , 5
2020/1/12, 38, 14, 12, 8, , 3
2020/1/13, 30, 12, 14, 9, , 2
2020/1/14, 21, 17, 16, 10, , 2
2020/1/15, 31, , 32, 17, , 6
2020/1/16, 5, 29, 19, 25, , 8
2019/10/2, 56, 38, 67, 19, 1, 6
2019/10/3, 61, 34, 34, 6, , 7
2019/10/4, 65, 33, 52, 15, 1, 4
2019/10/5, 61, 39, 57, 16, 1, 4
2019/10/6, 78, 11, 26, , , 2
2019/10/7, 28, 8, 18, 7, , 2
2019/10/8, 11, 14, 24, 12, , 3
2019/10/9, 27, 28, 18, 12, , 3
2019/10/10, 38, 19, 31, 13, 1, 3
2019/10/11, 35, 24, 33, 18, , 5
2019/10/12, 55, 29, 65, 12, 1, 6
2019/10/13, 60, 24, 50, 12, 1, 8
2019/10/14, 51, 30, 57, 11, 1, 6
2019/10/15, 51, 19, 21, 12, , 3
2019/10/16, 31, 24, 29, 7, , 2
2019/10/20, 28, 14, 22, 5, 1, 1
2019/10/21, 20, 28, 17, 20, 1, 4
2019/10/22, 53, 26, 19, 20, 1, 5
2019/10/23, 61, 23, 36, 11, , 2
2019/10/24, 43, 22, 27, 16, , 4
2019/10/25, 46, 42, 34, 29, 1, 6
2019/10/26, 88, 27, 41, 12, 1, 3
2019/10/27, 59, 22, 44, 12, 1, 3
2019/10/28, 50, 24, 37, 20, 1, 4
2019/10/29, 41, 34, 34, 31, 1, 6
2019/10/30, 53, 29, 70, 19, 1, 4
2019/10/31, 57, 23, 26, 17, 1, 4
2019/11/1, 57, 22, 31, 12, , 3
2019/11/2, 54, 23, 35, 9, , 4
2019/11/3, 41, 28, 43, 12, , 6
2019/11/4, 59, 27, 40, 15, 1, 4
2019/11/5, 42, 22, 32, 21, , 5
2019/11/6, 36, 16, 22, 11, , 3
2019/11/7, 29, 20, 13, 17, , 4
2019/11/8, 38, 19, 4, 18, 1, 4
2019/11/9, 51, 15, , 7, , 3
2019/11/10, 46, 17, 18, 14, , 4
2019/11/11, 35, 14, 21, 13, , 3
2019/11/12, 31, 11, 15, 8, , 1
2019/11/13, 17, 21, 24, 15, 1, 3
2019/11/14, 38, 19, 19, 19, , 5
2019/11/15, 41, 11, 16, 12, , 3
2019/11/16, 30, 17, 24, 11, 2, 3
2019/11/17, 37, 16, 41, 5, 2, 1
2019/11/18, 37, 16, 20, 11, 1, 2
2019/11/19, 40, 16, 15, 14, 1, 3
2019/11/20, 43, 13, 31, 8, 1, 2
2019/11/21, 31, 29, 51, 15, 1, 4
2019/11/22, 44, 28, 10, 25, , 6
2019/11/23, 45, 18, 25, 10, , 3
2019/11/24, 33, 16, 19, 4, , 1
2019/11/25, 33, 25, 30, 5, 1, 3
2019/11/26, 36, 32, 28, 19, 1, 3
2019/11/27, 54, 33, 18, 23, , 6
2019/11/28, 55, 22, 13, 16, , 3
2019/11/29, 19, 31, 36, 12, 1, 2
2019/11/30, 51, 28, 47, 16, , 4
2019/12/1, 60, 17, 30, 9, , 3
2019/12/2, 38, 13, 18, 10, , 2
2019/12/3, 23, 24, 13, 12, 1, 2
2019/12/4, 42, 35, 28, 23, 1, 6
2019/12/5, 62, 27, 17, 21, , 7
2019/12/6, 45, 15, 21, 17, , 4
2019/12/7, 34, 26, 41, 11, 1, 2
2019/12/8, 38, 22, 48, 12, 1, 3
2019/12/9, 43, 29, 22, 24, , 5
2019/12/10, 54, 27, 8, 27, , 8
2019/12/11, 49, 31, 23, 32, , 8
2019/12/12, 59, 22, , 28, , 7
2019/12/13, 36, 25, 18, 12, , 5
2019/12/14, 48, 17, 28, 10, , 3
2019/12/15, 39, 16, 25, 10, , 4
2019/12/16, 29, 25, 25, 17, , 6
2019/12/17, 39, 18, 27, 19, , 4
2019/12/18, 29, 16, 29, 18, , 4
2019/12/19, 32, , 41, 14, , 3
2019/12/20, 21, 43, , 19, , 3
2019/12/21, 46, 18, , 12, , 3
2019/12/22, 30, 9, , 7, , 3
2019/12/23, 13, 23, , 14, , 4
2019/12/24, 25, 12, , 9, , 2
2019/12/25, 29, 16, , 5, , 2
2019/12/26, 39, 20, , 11, , 3
2019/12/27, 42, 23, , 9, , 2
2019/12/28, 53, 24, 51, 7, , 3
2019/12/29, 50, 15, 39, 6, , 2
2019/12/30, 51, , , , , 
2019/7/2, 66, 46, 20, 30, 1, 10
2019/7/3, 88, 50, 20, 29, 2, 7
2019/7/4, 82, 13, 4, 14, , 6
2019/7/5, 47, 10, 8, 17, , 4
2019/7/6, 23, 14, 16, 13, , 3
2019/7/7, 40, 16, 20, 9, , 3
