date, pm25, pm10, o3, no2, so2, co
2020/4/2, 50, , 37, , , 
2020/4/3, 42, , 27, , , 
2020/4/4, 42, , 48, , , 
2020/4/5, 36, , 41, , , 
2020/4/6, 44, , 46, , , 
2020/4/7, 60, , 29, , , 
2020/4/8, 59, , , , , 
2020/3/2, 21, , 16, , , 
2020/3/3, 28, , 11, , , 
2020/3/4, 21, , 23, , , 
2020/3/5, 32, , 20, , , 
2020/3/6, 38, , 26, , , 
2020/3/7, 39, , 16, , , 
2020/3/8, 42, , 18, , , 
2020/3/9, 40, , 39, , , 
2020/3/10, 55, , 52, , , 
2020/3/11, 56, , 43, , , 
2020/3/12, 56, , 60, , , 
2020/3/13, 59, , 50, , , 
2020/3/14, 69, , 65, , , 
2020/3/15, 74, , 33, , , 
2020/3/16, 47, , 39, , , 
2020/3/29, 54, , 27, , , 
2020/3/30, 47, , 32, , , 
2020/3/31, 51, , 40, , , 
2020/4/1, 47, , 30, , , 
2020/2/2, 27, , 29, , , 
2020/2/3, 38, , 14, , , 
2020/2/4, 29, , 26, , , 
2020/2/5, 35, , 29, , , 
2020/2/6, 44, , 25, , , 
2020/2/7, 37, , 22, , , 
2020/2/8, 36, , 26, , , 
2020/2/9, 31, , 23, , , 
2020/2/10, 28, , 13, , , 
2020/2/11, 21, , 14, , , 
2020/2/12, 31, , 13, , , 
2020/2/13, 33, , 22, , , 
2020/2/14, 31, , 34, , , 
2020/2/15, 45, , 35, , , 
2020/2/16, 47, , 35, , , 
2020/2/17, 78, , 33, , , 
2020/2/18, 57, , 44, , , 
2020/2/19, 51, , 35, , , 
2020/2/20, 43, , 28, , , 
2020/2/21, 49, , 14, , , 
2020/2/22, 38, , 14, , , 
2020/2/23, 26, , 22, , , 
2020/2/24, 34, , 26, , , 
2020/2/25, 40, , 29, , , 
2020/2/26, 34, , 11, , , 
2020/2/27, 21, , 17, , , 
2020/2/28, 22, , 9, , , 
2020/2/29, 32, , 19, , , 
2020/3/1, 30, , 16, , , 
2020/1/2, 94, , 26, , , 
2020/1/3, 36, , 14, , , 
2020/1/4, 20, , 23, , , 
2020/1/5, 26, , 26, , , 
2020/1/6, 37, , 33, , , 
2020/1/7, 29, , 42, , , 
2020/1/8, 42, , 27, , , 
2020/1/9, 31, , 25, , , 
2020/1/10, 33, , 37, , , 
2020/1/11, 40, , 28, , , 
2020/1/12, 43, , 13, , , 
2020/1/13, 39, , 22, , , 
2020/1/14, 38, , 23, , , 
2020/1/15, 43, , 46, , , 
2020/1/16, 53, , 31, , , 
2020/1/17, 62, , 14, , , 
2020/1/18, 25, , 15, , , 
2020/1/19, 26, , 22, , , 
2020/1/20, 31, , 21, , , 
2020/1/21, 34, , 37, , , 
2020/1/22, 44, , 21, , , 
2020/1/23, 40, , 6, , , 
2020/1/24, 46, , 14, , , 
2020/1/25, 31, , 34, , , 
2020/1/26, 32, , 52, , , 
2020/1/27, 50, , 61, , , 
2020/1/28, 58, , 39, , , 
2020/1/29, 79, , 33, , , 
2020/1/30, 49, , 25, , , 
2020/1/31, 24, , 27, , , 
2020/2/1, 25, , 23, , , 
2019/10/2, 57, 52, 76, 26, 1, 5
2019/10/3, 70, 63, 43, 18, , 3
2019/10/4, 73, 37, 66, 18, 1, 3
2019/10/5, 69, 55, 65, 15, 1, 3
2019/10/6, 76, , 28, 4, , 
2019/10/7, 39, , 17, 11, , 
2019/10/8, 32, , 23, 16, , 
2019/10/9, 43, , 15, 16, , 
