Date,Open,High,Low,Close,Adj Close,Volume
2015-01-05,7.406061,7.606061,7.363636,7.527273,5.787374,12836500
2015-01-06,7.636364,7.836364,7.521212,7.769697,5.973759,23884900
2015-01-07,8.066667,8.145454,7.957576,7.987879,6.141512,13858500
2015-01-08,8.024242,8.266666,7.987879,8.169697,6.281302,24868500
2015-01-09,8.121212,8.193939,7.927273,7.969697,6.127534,12914800
2015-01-12,7.703030,7.793940,7.642424,7.709091,5.927164,17622400
2015-01-13,7.921212,7.927273,7.678788,7.800000,5.997061,17583600
2015-01-14,7.884849,8.018182,7.830303,7.951515,6.113553,24196800
2015-01-15,8.042424,8.084848,7.678788,7.690909,5.913184,20775900
2015-01-16,7.800000,8.018182,7.733333,8.012121,6.160151,34841400
2015-01-20,7.733333,7.763637,7.606061,7.739394,5.950464,17407900
2015-01-21,7.793940,8.133333,7.733333,8.096970,6.225387,22711300
2015-01-22,8.151515,8.278788,8.030303,8.200000,6.304600,17945700
2015-01-23,8.036364,8.042424,7.884849,7.981818,6.136851,13136400
2015-01-26,7.884849,8.060606,7.848485,8.030303,6.174130,12483900
2015-01-27,7.903030,8.115151,7.884849,8.078788,6.211406,11981700
2015-01-28,7.975758,7.975758,7.781818,7.793940,5.992400,14566900
2015-01-29,7.769697,7.787879,7.569697,7.696970,5.917844,17994900
2015-01-30,7.345455,7.448485,7.303030,7.345455,5.647580,19474300
2015-02-02,7.296970,7.515152,7.278788,7.503030,5.772818,13822300
2015-02-03,7.684848,7.733333,7.612121,7.654545,5.889393,16053700
2015-02-04,7.533333,7.903030,7.496970,7.842424,6.033947,37309900
2015-02-05,7.751515,7.896970,7.696970,7.812121,6.010631,27830800
2015-02-06,7.648485,7.690909,7.569697,7.569697,5.824111,60910900
2015-02-09,7.612121,7.721212,7.593939,7.709091,5.931359,21076800
2015-02-10,7.539394,7.575758,7.400000,7.430303,5.716859,38194900
2015-02-11,7.084848,7.115151,6.969697,7.090909,5.534445,20840800
2015-02-12,7.248485,7.418182,7.236363,7.375758,5.756770,37887600
2015-02-13,7.418182,7.696970,7.412121,7.654545,5.974364,45174100
2015-02-17,7.624242,7.769697,7.569697,7.751515,6.050047,8935000
2015-02-18,7.745454,7.763637,7.569697,7.636364,5.960171,13817800
2015-02-19,7.557576,7.630303,7.478788,7.551515,5.893949,9320200
2015-02-20,7.478788,7.575758,7.430303,7.557576,5.898678,10232200
2015-02-23,7.581818,7.672727,7.490909,7.600000,5.931792,14113800
2015-02-24,7.606061,7.854546,7.496970,7.848485,6.125732,12583800
2015-02-25,7.630303,7.739394,7.575758,7.721212,6.026398,15892500
2015-02-26,7.636364,7.751515,7.612121,7.703030,6.012206,11516100
2015-02-27,7.787879,7.969697,7.684848,7.745454,6.045318,25664800
2015-03-02,7.678788,7.690909,7.533333,7.593939,5.931132,17698600
2015-03-03,7.533333,7.606061,7.509091,7.593939,5.931132,24726900
2015-03-04,7.351515,7.436364,7.272727,7.436364,5.808062,39792600
2015-03-05,7.315152,7.357576,7.175757,7.200000,5.623453,28123300
2015-03-06,7.084848,7.127273,6.860606,6.872727,5.367841,63879000
2015-03-09,6.769697,6.806061,6.484848,6.575758,5.135898,47696200
2015-03-10,6.581818,6.581818,6.333333,6.363636,4.970223,81941400
2015-03-11,6.369697,6.569697,6.345455,6.515152,5.088562,27603400
2015-03-12,6.630303,6.678788,6.460606,6.533333,5.102760,23608900
2015-03-13,6.278788,6.327273,6.133333,6.296970,4.918154,31821400
2015-03-16,6.357576,6.430303,6.248485,6.296970,4.918154,14452500
2015-03-17,6.248485,6.490909,6.218182,6.478788,5.060163,19497700
2015-03-18,6.406061,6.793940,6.400000,6.745454,5.268438,32547300
2015-03-19,6.618182,6.636364,6.436364,6.515152,5.088562,15894100
